Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
1.320000000000000728e+00,2.000000000000000000e+00,-1.050967870886363453e+00,2.801689120365218888e-01,2.801689120365218888e-01,3.519754773782048929e-01
1.330000000000000515e+00,2.000000000000000000e+00,-1.143549949648664077e+00,2.817283828890486674e-01,2.817283828890486674e-01,3.545043967520238315e-01
1.340000000000000746e+00,2.000000000000000000e+00,-1.223451754806405001e+00,2.831920722015828229e-01,2.831920722015828229e-01,3.570152198437478441e-01
1.350000000000000533e+00,2.000000000000000000e+00,-1.128583493091298573e+00,2.845659021248362897e-01,2.845659021248362897e-01,3.595081225801586844e-01
1.360000000000000764e+00,2.000000000000000000e+00,-1.037324340777590059e+00,2.858552891929564410e-01,2.858552891929564410e-01,3.619832787486275683e-01
1.370000000000000551e+00,2.000000000000000000e+00,-9.518433346551820051e-01,2.870651491995933613e-01,2.870651491995933613e-01,3.644408600290602873e-01
1.380000000000000782e+00,2.000000000000000000e+00,-8.731814969269456883e-01,2.882000154902480404e-01,2.882000154902480404e-01,3.668810360258285552e-01
1.390000000000000568e+00,2.000000000000000000e+00,-8.014641528837048723e-01,2.892640187530598483e-01,2.892640187530598483e-01,3.693039742996207520e-01
1.400000000000000799e+00,2.000000000000000000e+00,-7.362133153390804097e-01,2.902609866944060868e-01,2.902609866944060868e-01,3.717098403991483391e-01
1.410000000000000586e+00,2.000000000000000000e+00,-6.766059803520031446e-01,2.911944601472671867e-01,2.911944601472671867e-01,3.740987978926499924e-01
1.420000000000000817e+00,2.000000000000000000e+00,-6.220380468995846401e-01,2.920676763403704523e-01,2.920676763403704523e-01,3.764710083991444356e-01
1.430000000000000604e+00,2.000000000000000000e+00,-5.720021739515206427e-01,2.928836634815724649e-01,2.928836634815724649e-01,3.788266316193815708e-01
1.440000000000000835e+00,4.000000000000000000e+00,-2.622314065047857690e-01,2.917482330677250157e-01,2.917482330677250157e-01,3.813403713210269386e-01
1.450000000000000622e+00,4.000000000000000000e+00,-2.564085428609556572e-01,2.903961402407600478e-01,2.903961402407600478e-01,3.838446662902348372e-01
1.460000000000000853e+00,4.000000000000000000e+00,-2.519750123170846900e-01,2.889358666001783371e-01,2.889358666001783371e-01,3.863290771430343273e-01
1.470000000000000639e+00,4.000000000000000000e+00,-2.489966773815415202e-01,2.873619531719641684e-01,2.873619531719641684e-01,3.887938710509993845e-01
1.480000000000000870e+00,4.000000000000000000e+00,-2.475535040611861470e-01,2.856696822537748703e-01,2.856696822537748703e-01,3.912392557614942090e-01
1.490000000000000657e+00,4.000000000000000000e+00,-2.477402774423163034e-01,2.838552719944691383e-01,2.838552719944691383e-01,3.936653726277296039e-01
1.500000000000000888e+00,4.000000000000000000e+00,-2.506442204218288783e-01,3.021430909479291826e-01,3.021430909479291826e-01,3.960722926912126907e-01
1.510000000000000675e+00,4.000000000000000000e+00,-2.544793638201140462e-01,3.035678058195988016e-01,3.035678058195988016e-01,3.984600168188711100e-01
1.520000000000000906e+00,4.000000000000000000e+00,-2.603385275567510759e-01,3.050088940472611698e-01,3.050088940472611698e-01,4.008284804574595572e-01
1.530000000000000693e+00,4.000000000000000000e+00,-2.673473823816011619e-01,2.753463257451854718e-01,2.753463257451854718e-01,4.031775629332794431e-01
1.540000000000000924e+00,4.000000000000000000e+00,-2.778528686873324438e-01,2.729114801830530568e-01,2.729114801830530568e-01,4.055071005354550229e-01
1.550000000000000711e+00,4.000000000000000000e+00,-2.919357078265002459e-01,3.093787080124627553e-01,3.093787080124627553e-01,4.078169020519264443e-01
1.560000000000000941e+00,4.000000000000000000e+00,-3.075404531805612240e-01,5.352614294697101149e-01,5.352614294697101149e-01,4.101067651247929380e-01
1.570000000000000728e+00,4.000000000000000000e+00,-3.256607919106881410e-01,1.747917067692566606e+00,5.243617861476881914e-02,4.123764918154396719e-01
1.580000000000000959e+00,4.000000000000000000e+00,-3.523595285254181864e-01,5.352614302654221667e-01,5.352614302654221667e-01,4.146259020777473547e-01
1.590000000000000746e+00,4.000000000000000000e+00,-3.826918605378926141e-01,5.352614276151541617e-01,5.352614276151541617e-01,4.168548443138553883e-01
1.600000000000000977e+00,4.000000000000000000e+00,-4.180733422376851638e-01,1.783696905349576811e+00,5.451658268980774658e-02,4.190632026951545130e-01
1.610000000000000764e+00,4.000000000000000000e+00,-4.661324538669739947e-01,1.795809930789146192e+00,5.523667110973595751e-02,4.212509013621968945e-01
1.620000000000000995e+00,4.000000000000000000e+00,-5.301172470959196747e-01,1.807990989811715687e+00,5.596077245926056598e-02,4.234179059128614364e-01
1.630000000000000782e+00,4.000000000000000000e+00,-6.217954463655585018e-01,1.820226748855229726e+00,5.668421131788195511e-02,4.255642227398427901e-01
