Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
2.220000000000001528e+00,1.000000000000000000e+00,-2.286050051173611763e-01,7.944277240614113778e-01,5.120945048115840836e-02,4.815489403601533325e-01
2.230000000000001315e+00,1.000000000000000000e+00,-2.224190304982468225e-01,7.993572187574730092e-01,5.041798881873305049e-02,4.828645995727780527e-01
2.240000000000001545e+00,1.000000000000000000e+00,-2.162833889862411929e-01,8.042768027539255460e-01,4.963720780970490298e-02,4.841715680886738427e-01
2.250000000000001332e+00,1.000000000000000000e+00,-2.101972319872196793e-01,8.091865933362473173e-01,4.886687999381320036e-02,4.854699304955071848e-01
2.260000000000001563e+00,1.000000000000000000e+00,-2.041597307647706194e-01,8.140867316423842093e-01,4.810678600797657634e-02,4.867597703748735571e-01
2.270000000000001350e+00,1.000000000000000000e+00,-1.981700693769329058e-01,8.189773397953810097e-01,4.735671141510830462e-02,4.880411703150463465e-01
2.280000000000001581e+00,1.000000000000000000e+00,-1.922274771409886174e-01,8.238585409487766409e-01,4.661644899274366982e-02,4.893142119235913134e-01
2.290000000000001368e+00,1.000000000000000000e+00,-1.863311870928283653e-01,8.287304260601007222e-01,4.588580421979979174e-02,4.905789758398422240e-01
2.300000000000001599e+00,1.000000000000000000e+00,-1.804804512244360670e-01,8.335931383489494362e-01,4.516457127239023595e-02,4.918355417472446423e-01
2.310000000000001386e+00,1.000000000000000000e+00,-1.746745596990513794e-01,8.384467674765654355e-01,4.445256841641298529e-02,4.930839883855602790e-01
2.320000000000001616e+00,1.000000000000000000e+00,-1.689128011303058785e-01,8.432914155109689780e-01,4.374960503206881679e-02,4.943243935629381136e-01
2.330000000000001403e+00,1.000000000000000000e+00,-1.631944904577418420e-01,8.481272005635156486e-01,4.305551053267486772e-02,4.955568341678471267e-01
2.340000000000001634e+00,1.000000000000000000e+00,-1.575189676921539272e-01,8.529541946157923604e-01,4.237010569605570431e-02,4.967813861808763054e-01
2.350000000000001421e+00,1.000000000000000000e+00,-1.518855802915121678e-01,8.577725071816861835e-01,4.169321935658940048e-02,4.979981246863961486e-01
2.360000000000001652e+00,1.000000000000000000e+00,-1.462936924354146240e-01,8.625822252511302635e-01,4.102469084291412993e-02,4.992071238840879444e-01
2.370000000000001439e+00,1.000000000000000000e+00,-1.407426808558190634e-01,8.673834397013269193e-01,4.036435726112386213e-02,5.004084571003364346e-01
2.380000000000001670e+00,1.000000000000000000e+00,-1.352319593520645569e-01,8.721762257637794002e-01,3.971206893417827954e-02,5.016021967994894748e-01
2.390000000000001457e+00,1.000000000000000000e+00,-1.297609353129143273e-01,8.769606673329352065e-01,3.906766792788435305e-02,5.027884145949836903e-01
2.400000000000001688e+00,1.000000000000000000e+00,-1.243290185601906017e-01,8.817368573675353760e-01,3.843100813504174429e-02,5.039671812603363499e-01
2.410000000000001474e+00,1.000000000000000000e+00,-1.189356688803064194e-01,8.865048553678430698e-01,3.780194970414499367e-02,5.051385667400070112e-01
2.420000000000001705e+00,1.000000000000000000e+00,-1.135803376501783313e-01,8.912647398058911596e-01,3.718034918550067180e-02,5.063026401601242732e-01
2.430000000000001492e+00,1.000000000000000000e+00,-1.082624833744680187e-01,8.960165912077312500e-01,3.656606793595587601e-02,5.074594698390842984e-01
2.440000000000001723e+00,1.000000000000000000e+00,-1.029815888639123711e-01,9.007604694434185877e-01,3.595897744411183372e-02,5.086091232980176624e-01
2.450000000000001510e+00,1.000000000000000000e+00,-9.773713966431910039e-02,9.054964552577781101e-01,3.535894703891537261e-02,5.097516672711279728e-01
2.460000000000001741e+00,1.000000000000000000e+00,-9.252864294383560118e-02,9.102246011472509002e-01,3.476585200428003453e-02,5.108871677159003699e-01
2.470000000000001528e+00,1.000000000000000000e+00,-8.735561072091654888e-02,9.149449776948790358e-01,3.417956243964262453e-02,5.120156898231835729e-01
2.480000000000001759e+00,1.000000000000000000e+00,-8.221756069198872530e-02,9.196576548328967426e-01,3.359996550172564267e-02,5.131372980271451389e-01
