Iref,iL
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.199999999999999956e-01,5.409819822532745404e-01
6.199999999999999956e-01,5.409819822532720979e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352864758e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352859207e-01
6.300000000000000044e-01,5.449724565352868089e-01
6.300000000000000044e-01,5.449724565352860317e-01
6.300000000000000044e-01,5.449724565352865868e-01
6.300000000000000044e-01,5.449724565352862538e-01
6.300000000000000044e-01,5.449724565352862538e-01
